[Return: -3991.4679389999947, Pct return: -0.03994772359807848, Length: 1
, Return: -2384.280715999994, Pct return: -0.024871170549489525, Length: 3
, Return: 5562.4492949999985, Pct return: 0.05943054607677553, Length: 2
, Return: 4690.284408000007, Pct return: 0.04734682439072238, Length: 3
, Return: 395.91858600001433, Pct return: 0.0038180814593043585, Length: 3
, Return: -3287.545757999993, Pct return: -0.031585341450989346, Length: 3
, Return: 3144.954176000014, Pct return: 0.03118677357242939, Length: 2
, Return: 732.9020940000046, Pct return: 0.007050785751420732, Length: 3
, Return: 4955.081352000023, Pct return: 0.04732697419528128, Length: 1
, Return: -3296.8778310000052, Pct return: -0.030081120920406972, Length: 3
, Return: 1453.2263850000018, Pct return: 0.013673435374149685, Length: 3
, Return: -1062.7222140000085, Pct return: -0.00985763266898106, Length: 3
, Return: -4185.059999999983, Pct return: -0.03923351146116811, Length: 1
, Return: 4224.395703999995, Pct return: 0.04118094391900758, Length: 3
, Return: 4369.258557999987, Pct return: 0.04091828328487697, Length: 3
, Return: 962.880707999997, Pct return: 0.008666843087775282, Length: 3
, Return: 1893.9221360000083, Pct return: 0.016898563829526474, Length: 3
, Return: -3992.8434600000037, Pct return: -0.03505257860972856, Length: 1
, Return: -780.637212000016, Pct return: -0.007106122662863345, Length: 3
, Return: 2312.0061200000055, Pct return: 0.021186497287799106, Length: 3
, Return: -1834.6645839999983, Pct return: -0.016473114597079647, Length: 3
, Return: -33.65201900000102, Pct return: -0.00030723809523811854, Length: 3
, Return: -2311.815281999996, Pct return: -0.021118046067209018, Length: 1
]
