[Return: 77.70999999999992, Pct return: 0.08178364654203737, Length: 1
, Return: -37.620000000000005, Pct return: -0.03863216408991358, Length: 1
, Return: -63.8400190000001, Pct return: -0.06625914151566052, Length: 1
, Return: 7.560021000000006, Pct return: 0.0076029781458492145, Length: 1
, Return: 18.630022999999937, Pct return: 0.018745684303302104, Length: 1
, Return: 65.11999999999989, Pct return: 0.06538546498785053, Length: 1
, Return: 7.000040000000126, Pct return: 0.0072569355173129485, Length: 1
, Return: 26.979962, Pct return: 0.027637173459766955, Length: 1
, Return: 46.25999999999999, Pct return: 0.04755736403483783, Length: 1
, Return: -29.580033999999955, Pct return: -0.03073665375840564, Length: 1
, Return: 25.560036000000082, Pct return: 0.026335349641518974, Length: 1
, Return: 12.919999999999959, Pct return: 0.013289037064257844, Length: 1
, Return: -12.320021999999994, Pct return: -0.012820535714285708, Length: 1
, Return: 9.44991600000003, Pct return: 0.00959479703220479, Length: 1
, Return: -19.980017999999973, Pct return: -0.020601354480301457, Length: 1
, Return: 13.870000000000005, Pct return: 0.014218932606154982, Length: 1
, Return: 5.220017999999982, Pct return: 0.005416529596254654, Length: 1
, Return: -20.140019000000052, Pct return: -0.020155942194333653, Length: 1
, Return: -13.430017000000134, Pct return: -0.014150115917961165, Length: 1
, Return: 39.780000000000086, Pct return: 0.041291690181460804, Length: 1
]
