[Return: -101.9997000000003, Pct return: -0.013420130696011187, Length: 1
, Return: 245.5002000000013, Pct return: 0.0327399077632867, Length: 1
, Return: 366.5001000000011, Pct return: 0.04732697419528128, Length: 1
, Return: -531.0005500000016, Pct return: -0.06547075113559443, Length: 1
, Return: -356.5001999999995, Pct return: -0.04618177373004573, Length: 1
, Return: -146.49964999999975, Pct return: -0.01966306354147583, Length: 1
, Return: 157.4996999999994, Pct return: 0.02156348546599823, Length: 1
, Return: -157.4996999999994, Pct return: -0.021108316588040334, Length: 1
, Return: 294.49994999999944, Pct return: 0.04287377191462461, Length: 1
, Return: 172.49984999999924, Pct return: 0.024080386010179745, Length: 1
, Return: -72.00009999999929, Pct return: -0.009814626432561112, Length: 1
, Return: -53.49959999999919, Pct return: -0.007172970532586486, Length: 1
, Return: 381.4994999999999, Pct return: 0.052967649018375876, Length: 1
, Return: 124.00054999999975, Pct return: 0.016350284246123288, Length: 1
, Return: -129.4997999999996, Pct return: -0.01650520031232721, Length: 1
, Return: 239.49964999999884, Pct return: 0.03103734165700316, Length: 1
, Return: -41.999799999998686, Pct return: -0.005279009718420272, Length: 1
, Return: -18.000049999999646, Pct return: -0.002287027449665669, Length: 1
, Return: 226.9997000000003, Pct return: 0.028362552642357333, Length: 1
, Return: -288.50025000000005, Pct return: -0.03505257860972856, Length: 1
, Return: -61.49974999999995, Pct return: -0.007743610116938068, Length: 1
, Return: 199.49954999999954, Pct return: 0.025496778532277532, Length: 1
, Return: 121.5003999999999, Pct return: 0.015142124006533416, Length: 1
, Return: 54.499800000000505, Pct return: 0.006690786159455337, Length: 1
, Return: 47.49985000000015, Pct return: 0.005871427579639762, Length: 1
, Return: -124.50024999999914, Pct return: -0.015073581753452588, Length: 1
, Return: -13.999950000000354, Pct return: -0.0017209527053648542, Length: 1
]
