Date,High,Low,Close,Open,Volume,diff,Volatility
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
11/15/18 9:36,189.14,188.222,189.104,188.93,209192,0.918,0
11/15/18 9:37,189.2,188.52,188.82,189.08,224031,0.68,0
11/15/18 9:38,188.99,188.58,188.7,188.82,147370,0.41,0
11/15/18 9:39,188.883,188.26,188.385,188.699,215644,0.623,0
11/15/18 9:40,188.878,187.86,188.274,188.42,215188,1.018,0
11/15/18 9:41,188.9,188.17,188.612,188.243,178141,0.73,0.019346595
11/15/18 9:42,188.8,188.4,188.496,188.614,165473,0.4,0.018361132
11/15/18 9:43,188.95,188.34,188.885,188.505,207135,0.61,0.016840935
11/15/18 9:44,189.35,188.514,189.187,188.892,241632,0.836,0.017871207
11/15/18 9:45,189.4,189.05,189.141,189.222,166296,0.35,0.019001697
11/15/18 9:46,189.3,189.04,189.184,189.13,121750,0.26,0.015466424
11/15/18 9:47,189.26,188.78,188.81,189.21,208449,0.48,0.013007786
11/15/18 9:48,189.047,188.61,188.992,188.837,116070,0.437,0.013418557
11/15/18 9:49,189.44,188.769,189.25,188.97,197740,0.671,0.012486129
11/15/18 9:50,189.31,188.7,188.82,189.25,149720,0.61,0.011640716
11/15/18 9:51,188.83,188.21,188.309,188.8,166159,0.62,0.013053014
11/15/18 9:52,188.52,187.85,187.925,188.32,187825,0.67,0.014995344
11/15/18 9:53,188.721,187.78,188.22,187.943,102791,0.941,0.015981298
11/15/18 9:54,188.591,188.03,188.22,188.2,96177,0.561,0.018659016
11/15/18 9:55,188.26,187.87,188.07,188.24,84302,0.39,0.018089009
11/15/18 9:56,188.82,187.97,188.564,188.03,200101,0.85,0.016874907
11/15/18 9:57,188.59,188.37,188.509,188.586,95904,0.22,0.018099932
11/15/18 9:58,188.52,188.06,188.06,188.5,92676,0.46,0.015750292
11/15/18 9:59,188.455,187.4,187.74,188.07,190904,1.055,0.013215085
11/15/18 10:00,188.171,187.16,187.98,187.749,138854,1.011,0.015826152
11/15/18 10:01,188.23,187.71,188.022,187.96,70991,0.52,0.019125421
11/15/18 10:02,188.31,187.76,187.812,188.03,93065,0.55,0.01738973
11/15/18 10:03,187.937,187.36,187.56,187.805,151450,0.577,0.019172531
11/15/18 10:04,187.59,187.31,187.33,187.56,102757,0.28,0.019820637
11/15/18 10:05,187.745,187.02,187.34,187.32,166028,0.725,0.015682716
11/15/18 10:06,187.7,187.15,187.441,187.33,132567,0.55,0.014148452
11/15/18 10:07,187.93,187.41,187.645,187.42,102149,0.52,0.014292947
11/15/18 10:08,187.69,187.21,187.395,187.689,115811,0.48,0.014151925
11/15/18 10:09,187.603,187.24,187.3,187.431,61487,0.363,0.013641217
11/15/18 10:10,187.6,187.16,187.239,187.26,79378,0.44,0.014088945
11/15/18 10:11,187.49,187.21,187.45,187.22,68888,0.28,0.012552681
11/15/18 10:12,187.549,187.32,187.4,187.46,89146,0.229,0.011115261
11/15/18 10:13,187.8,187.36,187.582,187.43,109428,0.44,0.009553155
11/15/18 10:14,187.88,187.447,187.87,187.575,111559,0.433,0.009325597
11/15/18 10:15,188.06,187.78,187.959,187.85,120235,0.28,0.009693603
11/15/18 10:16,188.179,187.95,188.09,187.98,130475,0.229,0.008836195
11/15/18 10:17,188.084,187.794,187.86,188.08,89842,0.29,0.008575535
11/15/18 10:18,187.964,187.73,187.77,187.84,90886,0.234,0.008904511
11/15/18 10:19,188.16,187.741,187.91,187.81,101742,0.419,0.007801607
11/15/18 10:20,187.968,187.74,187.894,187.93,73758,0.228,0.007727761
11/15/18 10:21,188.15,187.882,188,187.897,79259,0.268,0.007446809
11/15/18 10:22,188.012,187.84,187.879,188,45855,0.172,0.007659185
11/15/18 10:23,188.12,187.73,187.761,187.88,70325,0.39,0.00703554
11/15/18 10:24,187.953,187.39,187.41,187.761,142376,0.563,0.007881116
11/15/18 10:25,187.5,187.35,187.42,187.43,72118,0.15,0.008649024
11/15/18 10:26,187.661,187.27,187.331,187.4,92714,0.391,0.008236757
11/15/18 10:27,187.57,187.29,187.52,187.32,90093,0.28,0.008884386
11/15/18 10:28,188,187.48,187.76,187.53,233528,0.52,0.009448232
11/15/18 10:29,187.85,187.54,187.607,187.785,101033,0.31,0.010148875
