Date	Close	Open	High	Low	Change-%	diff
11/20/18	1.1397	1.1455	1.1472	1.1385	-0.50%	0.0075
11/19/18	1.1454	1.1413	1.1463	1.1394	0.30%	0.0009
11/16/18	1.142	1.133	1.1423	1.132	0.81%	0.0003
11/15/18	1.1328	1.1309	1.1364	1.1271	0.16%	0.0036
11/14/18	1.131	1.129	1.1349	1.1262	0.17%	0.0039
11/13/18	1.1291	1.1219	1.1296	1.1216	0.65%	0.0005
11/12/18	1.1218	1.1331	1.1333	1.1214	-1.04%	0.0115
11/9/18	1.1336	1.1364	1.1371	1.1315	-0.24%	0.0035
11/8/18	1.1363	1.1425	1.1448	1.1352	-0.55%	0.0085
11/7/18	1.1426	1.1427	1.1502	1.1395	-0.01%	0.0076
11/6/18	1.1427	1.1406	1.144	1.1389	0.18%	0.0013
11/5/18	1.1407	1.1391	1.1425	1.1356	0.18%	0.0018
11/2/18	1.1387	1.1408	1.1458	1.1372	-0.19%	0.0071
11/1/18	1.1409	1.1311	1.1426	1.1306	0.86%	0.0017
10/31/18	1.1312	1.1345	1.1363	1.1301	-0.28%	0.0051
10/30/18	1.1344	1.1372	1.1387	1.1338	-0.25%	0.0043
10/29/18	1.1373	1.1408	1.1418	1.1361	-0.26%	0.0045
10/26/18	1.1403	1.1376	1.1422	1.1334	0.24%	0.0019
10/25/18	1.1376	1.1392	1.1434	1.1355	-0.14%	0.0058
10/24/18	1.1392	1.147	1.1477	1.1378	-0.69%	0.0085
10/23/18	1.1471	1.1466	1.1495	1.1438	0.05%	0.0024
10/22/18	1.1465	1.1507	1.1552	1.1455	-0.43%	0.0087
10/19/18	1.1515	1.1451	1.1536	1.1433	0.54%	0.0021
10/18/18	1.1453	1.15	1.1528	1.1448	-0.42%	0.0075
10/17/18	1.1501	1.1575	1.1585	1.1495	-0.64%	0.0084
10/16/18	1.1575	1.158	1.1623	1.1564	-0.03%	0.0048
10/15/18	1.1579	1.1559	1.1608	1.1537	0.14%	0.0029
10/12/18	1.1563	1.1592	1.1611	1.1534	-0.27%	0.0048
10/11/18	1.1594	1.1519	1.16	1.1517	0.64%	0.0006
10/10/18	1.152	1.1491	1.1547	1.1479	0.26%	0.0027
10/9/18	1.149	1.1491	1.1504	1.143	-0.02%	0.0014
10/8/18	1.1492	1.152	1.1536	1.1459	-0.28%	0.0044
10/5/18	1.1524	1.1513	1.155	1.1483	0.08%	0.0026
10/4/18	1.1515	1.1478	1.1543	1.1464	0.32%	0.0028
10/3/18	1.1478	1.1548	1.1595	1.1465	-0.61%	0.0117
10/2/18	1.1548	1.1578	1.1582	1.1506	-0.26%	0.0034
10/1/18	1.1578	1.1609	1.163	1.1563	-0.27%	0.0052
9/28/18	1.1609	1.1641	1.1652	1.1567	-0.27%	0.0043
9/27/18	1.1641	1.174	1.1759	1.1637	-0.84%	0.0118
9/26/18	1.174	1.1767	1.1799	1.1726	-0.27%	0.0059
9/25/18	1.1772	1.1748	1.1793	1.173	0.20%	0.0021
9/24/18	1.1748	1.1751	1.1817	1.1723	-0.02%	0.0069
9/21/18	1.175	1.1776	1.1804	1.1731	-0.23%	0.0054
9/20/18	1.1777	1.1671	1.1786	1.1665	0.89%	0.0009
9/19/18	1.1673	1.1667	1.1716	1.1648	0.05%	0.0043
9/18/18	1.1667	1.1684	1.1726	1.1651	-0.14%	0.0059
9/17/18	1.1683	1.1623	1.1699	1.1617	0.46%	0.0016
9/14/18	1.163	1.169	1.1724	1.1619	-0.51%	0.0094
9/13/18	1.169	1.1627	1.1703	1.1608	0.55%	0.0013
9/12/18	1.1626	1.1604	1.1651	1.157	0.16%	0.0025
9/11/18	1.1607	1.1594	1.1645	1.1565	0.11%	0.0038
9/10/18	1.1594	1.156	1.1617	1.1526	0.35%	0.0023
9/7/18	1.1553	1.1624	1.1651	1.155	-0.59%	0.0098
9/6/18	1.1622	1.1629	1.166	1.1603	-0.06%	0.0038
9/5/18	1.1629	1.1581	1.164	1.1542	0.41%	0.0011
9/4/18	1.1582	1.1623	1.1629	1.1528	-0.36%	0.0047
9/3/18	1.1624	1.1596	1.1629	1.1583	0.20%	0.0005
8/31/18	1.1601	1.1671	1.1692	1.1585	-0.60%	0.0091
8/30/18	1.1671	1.1707	1.172	1.1641	-0.32%	0.0049
8/29/18	1.1708	1.1695	1.1712	1.1652	0.11%	0.0004
8/28/18	1.1695	1.1678	1.1735	1.1662	0.15%	0.004
8/27/18	1.1678	1.1631	1.1694	1.1592	0.47%	0.0016
8/24/18	1.1623	1.154	1.1641	1.1533	0.73%	0.0018
8/23/18	1.1539	1.1596	1.1601	1.153	-0.50%	0.0062
8/22/18	1.1597	1.157	1.1624	1.1551	0.22%	0.0027
8/21/18	1.1571	1.1482	1.1602	1.1479	0.78%	0.0031
8/20/18	1.1481	1.1442	1.1486	1.1394	0.37%	0.0005
8/17/18	1.1439	1.1377	1.1447	1.1365	0.54%	0.0008
8/16/18	1.1377	1.1345	1.1411	1.1335	0.28%	0.0034
8/15/18	1.1345	1.1344	1.1357	1.1299	0.01%	0.0012
8/14/18	1.1344	1.141	1.1431	1.133	-0.57%	0.0087
8/13/18	1.1409	1.1389	1.1434	1.1364	-0.02%	0.0025
8/10/18	1.1411	1.1526	1.1537	1.1384	-1.01%	0.0126
8/9/18	1.1527	1.1609	1.162	1.1525	-0.72%	0.0093
8/8/18	1.1611	1.1598	1.1629	1.1571	0.10%	0.0018
8/7/18	1.1599	1.1555	1.161	1.1547	0.39%	0.0011
8/6/18	1.1554	1.1571	1.1574	1.1527	-0.11%	0.002
8/3/18	1.1567	1.1583	1.1611	1.1559	-0.15%	0.0044
8/2/18	1.1584	1.166	1.1669	1.1582	-0.65%	0.0085
8/1/18	1.166	1.1691	1.1701	1.1656	-0.27%	0.0041
7/31/18	1.1691	1.1706	1.1745	1.1682	-0.13%	0.0054
7/30/18	1.1706	1.166	1.1721	1.1648	0.41%	0.0015
7/27/18	1.1658	1.1643	1.1665	1.1621	0.13%	0.0007
7/26/18	1.1643	1.1728	1.1744	1.1639	-0.72%	0.0101
7/25/18	1.1728	1.1684	1.1739	1.1663	0.36%	0.0011
7/24/18	1.1686	1.1692	1.1719	1.1654	-0.05%	0.0033
7/23/18	1.1692	1.173	1.1752	1.1682	-0.24%	0.006
7/20/18	1.172	1.1644	1.174	1.1626	0.66%	0.002
