Date,High,Low,Close,Open,Volume
2018-11-15 09:30:00,268.91,268.38,268.42,268.78,1305387
2018-11-15 09:31:00,268.76,267.97,268.19,268.43,622524
2018-11-15 09:32:00,268.2,267.66,267.82,268.19,655055
2018-11-15 09:33:00,268.29,267.79,268.05,267.82,600499
2018-11-15 09:34:00,268.63,268.0,268.58,268.07,505426
2018-11-15 09:35:00,268.76,268.5,268.75,268.58,618483
2018-11-15 09:36:00,268.9,268.51,268.75,268.74,340374
2018-11-15 09:37:00,269.09,268.687,269.03,268.82,468151
2018-11-15 09:38:00,269.13,268.61,268.97,269.01,374257
2018-11-15 09:39:00,269.06,268.76,268.92,268.97,409190
2018-11-15 09:40:00,268.94,268.44,268.58,268.921,387985
2018-11-15 09:41:00,269.08,268.49,268.95,268.58,346127
2018-11-15 09:42:00,268.96,268.46,268.47,268.93,371759
2018-11-15 09:43:00,269.05,268.4,268.96,268.48,437504
2018-11-15 09:44:00,269.41,268.816,269.35,268.97,375980
2018-11-15 09:45:00,269.39,268.875,269.18,269.36,267373
2018-11-15 09:46:00,269.28,269.03,269.1,269.17,150444
2018-11-15 09:47:00,269.12,268.77,268.89,269.1,224776
2018-11-15 09:48:00,269.21,268.73,269.19,268.9,394463
2018-11-15 09:49:00,269.68,268.92,269.53,269.2,594526
2018-11-15 09:50:00,269.52,269.04,269.11,269.51,199004
2018-11-15 09:51:00,269.115,268.712,268.82,269.1,340722
2018-11-15 09:52:00,268.83,268.51,268.6,268.83,406535
2018-11-15 09:53:00,268.83,268.55,268.81,268.59,206571
2018-11-15 09:54:00,269.05,268.74,268.93,268.815,425046
2018-11-15 09:55:00,268.99,268.807,268.86,268.95,191313
2018-11-15 09:56:00,269.27,268.83,269.01,268.86,351592
2018-11-15 09:57:00,269.21,268.99,269.1,269.0,120425
2018-11-15 09:58:00,269.16,268.9,268.948,269.1,167425
2018-11-15 09:59:00,269.0,268.51,268.59,268.94,243946
2018-11-15 10:00:00,268.862,268.38,268.78,268.61,425377
2018-11-15 10:01:00,268.99,268.656,268.93,268.8,246129
2018-11-15 10:02:00,269.24,268.795,268.81,268.95,347741
2018-11-15 10:03:00,268.91,268.65,268.76,268.83,233115
2018-11-15 10:04:00,268.78,268.47,268.48,268.76,535897
2018-11-15 10:05:00,268.777,268.214,268.48,268.47,577699
2018-11-15 10:06:00,268.81,268.31,268.51,268.48,501234
2018-11-15 10:07:00,268.73,268.35,268.543,268.5,134922
2018-11-15 10:08:00,268.6,268.14,268.25,268.54,406545
2018-11-15 10:09:00,268.36,268.16,268.2,268.251,205066
2018-11-15 10:10:00,268.44,268.08,268.13,268.19,297825
2018-11-15 10:11:00,268.35,268.1,268.321,268.12,179190
2018-11-15 10:12:00,268.52,268.21,268.41,268.32,168549
2018-11-15 10:13:00,268.72,268.37,268.59,268.42,221948
2018-11-15 10:14:00,268.63,268.44,268.55,268.6,318650
2018-11-15 10:15:00,270.135,268.55,268.62,268.55,784564
2018-11-15 10:16:00,268.76,268.613,268.66,268.62,159908
