index,Date,Open,High,Low,Close,%Change
0,10/28/2013,175.889999,176.470001,175.699997,176.229996,0
1,10/29/2013,176.630005,177.240005,176.380005,177.169998,0.00533
2,10/30/2013,177.380005,177.509995,175.660004,176.289993,-0.00497
3,10/31/2013,176.149994,176.889999,175.529999,175.789993,-0.00284
4,11/1/2013,176.020004,176.610001,175.220001,176.210007,0.00239
5,11/4/2013,176.690002,176.899994,175.979996,176.830002,0.00352
6,11/5/2013,176.139999,176.75,175.570007,176.270004,-0.00317
7,11/6/2013,177.029999,177.5,176.539993,177.169998,0.00511
8,11/7/2013,177.5,177.639999,174.759995,174.929993,-0.01264
9,11/8/2013,174.869995,177.309998,174.850006,177.289993,0.01349
10,11/11/2013,177.119995,177.529999,176.910004,177.320007,0.00017
11,11/12/2013,176.940002,177.360001,176.369995,176.960007,-0.00203
12,11/13/2013,176.089996,178.429993,176.089996,178.380005,0.00802
13,11/14/2013,178.539993,179.419998,178.25,179.270004,0.00499
14,11/15/2013,179.559998,180.119995,179.330002,180.050003,0.00435
15,11/18/2013,180.350006,180.5,179.020004,179.419998,-0.0035
16,11/19/2013,179.330002,179.869995,178.720001,179.029999,-0.00217
17,11/20/2013,179.389999,179.929993,177.979996,178.470001,-0.00313
18,11/21/2013,178.970001,180.050003,178.860001,179.910004,0.00807
19,11/22/2013,179.979996,180.830002,179.770004,180.809998,0.005
20,11/25/2013,181.130005,181.169998,180.369995,180.630005,-0.001
21,11/26/2013,180.720001,181.220001,180.410004,180.679993,0.00028
22,11/27/2013,180.869995,181.240005,180.649994,181.119995,0.00244
23,11/29/2013,181.320007,181.75,180.800003,181,-0.00066
24,12/2/2013,181.089996,181.429993,180.25,180.529999,-0.0026
25,12/3/2013,179.940002,180.389999,179.169998,179.75,-0.00432
26,12/4/2013,179.100006,180.479996,178.350006,179.729996,-0.00011
27,12/5/2013,179.410004,179.740005,178.770004,178.940002,-0.0044
28,12/6/2013,180.669998,181.110001,180.149994,180.940002,0.01118
29,12/9/2013,181.470001,181.669998,181.160004,181.399994,0.00254
30,12/10/2013,180.979996,181.360001,180.639999,180.75,-0.00358
31,12/11/2013,180.820007,180.850006,178.5,178.720001,-0.01123
32,12/12/2013,178.639999,178.860001,177.759995,178.130005,-0.0033
33,12/13/2013,178.5,178.660004,177.770004,178.110001,-0.00011
34,12/16/2013,178.949997,179.809998,178.899994,179.220001,0.00623
35,12/17/2013,179.380005,179.410004,178.25,178.649994,-0.00318
36,12/18/2013,178.919998,181.729996,177.320007,181.699997,0.01707
37,12/19/2013,181.179993,181.699997,180.710007,181.490005,-0.00116
38,12/20/2013,180.690002,181.990005,180.570007,181.559998,0.00039
39,12/23/2013,182.449997,182.639999,182.070007,182.529999,0.00534
40,12/24/2013,182.539993,183.009995,182.529999,182.929993,0.00219
41,12/26/2013,183.339996,183.960007,183.320007,183.860001,0.00508
42,12/27/2013,184.100006,184.179993,183.660004,183.850006,-0.00005
43,12/30/2013,183.869995,184.020004,183.580002,183.820007,-0.00016
44,12/31/2013,184.070007,184.690002,183.929993,184.690002,0.00473
45,1/2/2014,183.979996,184.070007,182.479996,182.919998,-0.00958
46,1/3/2014,183.229996,183.600006,182.630005,182.889999,-0.00016
47,1/6/2014,183.490005,183.559998,182.080002,182.360001,-0.0029
48,1/7/2014,183.089996,183.789993,182.949997,183.479996,0.00614
49,1/8/2014,183.449997,183.830002,182.889999,183.520004,0.00022
50,1/9/2014,184.110001,184.130005,182.800003,183.639999,0.00065
51,1/10/2014,183.949997,184.220001,183.009995,184.139999,0.00272
52,1/13/2014,183.669998,184.179993,181.339996,181.690002,-0.01331
53,1/14/2014,182.289993,183.770004,181.949997,183.669998,0.0109
54,1/15/2014,184.100006,184.940002,183.710007,184.660004,0.00539
55,1/16/2014,184.279999,184.660004,183.830002,184.419998,-0.0013
56,1/17/2014,184.100006,184.449997,183.320007,183.639999,-0.00423
57,1/21/2014,184.699997,184.770004,183.050003,184.179993,0.00294
58,1/22/2014,184.490005,184.570007,183.910004,184.300003,0.00065
59,1/23/2014,183.369995,183.399994,181.820007,182.789993,-0.00819
60,1/24/2014,181.600006,181.660004,178.830002,178.889999,-0.02134
61,1/27/2014,179.059998,179.520004,177.119995,178.009995,-0.00492
62,1/28/2014,178.139999,179.300003,178.119995,179.070007,0.00595
63,1/29/2014,177.580002,178.550003,176.880005,177.350006,-0.00961
64,1/30/2014,178.830002,179.809998,178.259995,179.229996,0.0106
65,1/31/2014,177.009995,179.289993,176.919998,178.179993,-0.00586
66,2/3/2014,177.970001,178.369995,173.830002,174.169998,-0.02251
67,2/4/2014,174.949997,175.839996,174.110001,175.389999,0.007
68,2/5/2014,174.779999,175.559998,173.710007,175.169998,-0.00125
69,2/6/2014,175.580002,177.479996,175.220001,177.479996,0.01319
70,2/7/2014,178.309998,179.869995,177.729996,179.679993,0.0124
71,2/10/2014,179.699997,180.070007,179.210007,180.009995,0.00184
72,2/11/2014,180.160004,182.440002,180.039993,181.979996,0.01094
73,2/12/2014,182.25,182.830002,181.710007,182.070007,0.00049
74,2/13/2014,180.839996,183.199997,180.830002,183.009995,0.00516
75,2/14/2014,182.839996,184.360001,182.669998,184.020004,0.00552
76,2/18/2014,184.179993,184.490005,183.649994,184.240005,0.0012
77,2/19/2014,183.759995,184.949997,182.869995,183.020004,-0.00662
78,2/20/2014,183.270004,184.520004,182.600006,184.100006,0.0059
79,2/21/2014,184.449997,184.889999,183.800003,183.889999,-0.00114
80,2/24/2014,184.279999,186.149994,184.199997,184.910004,0.00555
81,2/25/2014,185.059998,185.589996,184.229996,184.839996,-0.00038
82,2/26/2014,185.110001,185.600006,184.330002,184.850006,0.00005
83,2/27/2014,184.580002,185.869995,184.369995,185.820007,0.00525
84,2/28/2014,185.789993,187.149994,185.050003,186.289993,0.00253
85,3/3/2014,184.649994,185.449997,183.75,184.979996,-0.00703
86,3/4/2014,186.789993,187.979996,186.75,187.580002,0.01406
87,3/5/2014,187.740005,188.070007,187.449997,187.75,0.00091
88,3/6/2014,188.210007,188.610001,187.779999,188.179993,0.00229
