Date,Open,High,Low,Close,Adj Close,Volume
2013-11-27,165.699997,166.039993,165.509995,165.940002,150.206375,826300
2013-11-29,166.100006,166.509995,165.649994,165.699997,149.989105,614400
2013-12-02,165.949997,166.220001,165.149994,165.440002,149.753784,1409000
2013-12-03,164.889999,165.259995,164.160004,164.800003,149.174484,1076900
2013-12-04,164.100006,165.339996,163.389999,164.610001,149.002472,1374100
2013-12-05,164.399994,164.649994,163.800003,163.979996,148.432190,1168500
2013-12-06,165.550003,165.919998,165.059998,165.839996,150.115814,1208700
2013-12-09,166.250000,166.429993,165.990005,166.220001,150.459793,1586300
2013-12-10,165.820007,166.169998,165.509995,165.649994,149.943863,1747700
2013-12-11,165.669998,165.699997,163.539993,163.770004,148.242111,1079100
2013-12-12,163.639999,163.850006,162.869995,163.229996,147.753296,3453800
2013-12-13,163.529999,163.679993,162.880005,163.179993,147.708069,2151000
2013-12-16,163.960007,164.720001,163.899994,164.220001,148.649429,1838100
2013-12-17,164.330002,164.360001,163.309998,163.639999,148.124451,1479800
2013-12-18,163.919998,166.509995,162.009995,166.490005,150.704239,3112400
2013-12-19,166.029999,166.470001,165.570007,166.339996,150.568436,1242900
2013-12-20,166.440002,167.649994,166.440002,167.179993,151.328781,1303500
2013-12-23,168.070007,168.949997,167.750000,168.949997,152.930969,1480200
2013-12-24,167.229996,167.669998,167.220001,167.649994,152.579666,585700
2013-12-26,167.949997,168.529999,167.949997,168.429993,153.289566,968100
2013-12-27,168.720001,168.759995,168.270004,168.440002,153.298660,929700
2013-12-30,168.460007,168.559998,168.199997,168.369995,153.234940,1112800
2013-12-31,168.660004,169.229996,168.520004,169.149994,153.944824,774400
2014-01-02,168.529999,168.610001,167.199997,167.630005,152.561447,1731300
2014-01-03,167.880005,168.210007,167.330002,167.479996,152.424927,1710500
2014-01-06,168.110001,168.160004,166.820007,167.059998,152.042694,1339000
2014-01-07,167.729996,168.369995,167.630005,168.100006,152.989227,824700
