,ret,bin,start,data
2013-12-04,0.009291704429793546,1.0,2013-11-27,[181.119995 181.       180.529999 179.75     179.729996]
2014-01-10,0.0028239654763984046,-1.0,2014-01-03,[182.889999 182.360001 183.479996 183.520004 183.639999 184.139999]
2014-01-27,-0.02157180556069349,1.0,2014-01-21,[184.179993 184.300003 182.789993 178.889999 178.009995]
2014-02-03,0.03353044190768162,1.0,2014-01-27,[178.009995 179.070007 177.350006 179.229996 178.179993 174.169998]
2014-02-10,0.023498750722147355,1.0,2014-02-03,[174.169998 175.389999 175.169998 177.479996 179.679993 180.009995]
2014-02-18,0.0036365554809880685,-1.0,2014-02-11,[181.979996 182.070007 183.009995 184.020004 184.240005]
2014-02-25,0.0007574118320150536,1.0,2014-02-18,[184.240005 183.020004 184.100006 183.889999 184.910004 184.839996]
2014-03-11,-0.004806890024181776,-1.0,2014-03-04,[187.580002 187.75     188.179993 188.259995 188.160004 187.229996]
2014-03-18,-0.011883251371986647,-1.0,2014-03-11,[187.229996 187.279999 185.179993 184.660004 186.330002 187.660004]
2014-03-25,0.0037571628335264506,-1.0,2014-03-18,[187.660004 186.660004 187.75     186.199997 185.429993 186.309998]
2014-04-01,-0.020770273572377262,-1.0,2014-03-25,[186.309998 184.970001 184.580002 185.490005 187.009995 188.25    ]
2014-04-08,-0.011669389140916642,1.0,2014-04-01,[188.25     188.880005 188.630005 186.399994 184.339996 185.100006]
2014-04-15,0.015418002422660004,1.0,2014-04-08,[185.100006 187.089996 183.160004 181.509995 182.940002 184.199997]
2014-04-23,-0.0030407682535198433,-1.0,2014-04-16,[186.130005 186.389999 187.039993 187.889999 187.449997]
2014-05-07,0.010165999303651141,1.0,2014-04-30,[188.309998 188.330002 188.059998 188.419998 186.779999 187.880005]
2014-05-14,-0.001692547357373897,-1.0,2014-05-07,[187.880005 187.679993 187.960007 189.789993 189.960007 189.059998]
2014-05-21,0.01263680503788911,1.0,2014-05-14,[189.059998 187.399994 188.050003 188.740005 187.550003 189.130005]
2014-06-05,0.005914163115158244,1.0,2014-05-29,[192.369995 192.679993 192.899994 192.800003 193.190002 194.449997]
2014-06-12,0.006665335572271225,1.0,2014-06-05,[194.449997 195.380005 195.580002 195.600006 194.919998 193.539993]
2014-06-19,-0.009059441348929997,-1.0,2014-06-12,[193.539993 194.130005 194.289993 194.830002 196.259995 196.479996]
2014-06-26,0.008135473719448783,1.0,2014-06-19,[196.479996 195.940002 195.880005 194.699997 195.580002 195.440002]
2014-07-03,-0.00988896079549384,-1.0,2014-06-26,[195.440002 195.820007 195.720001 197.029999 197.229996 198.199997]
2014-07-11,0.006866415711986207,1.0,2014-07-07,[197.509995 196.240005 197.119995 196.339996 196.610001]
2014-08-01,-0.002233729870129819,1.0,2014-07-25,[197.720001 197.800003 196.949997 196.979996 193.089996 192.5     ]
2014-08-08,0.008279812453948043,1.0,2014-08-01,[192.5      193.889999 192.009995 192.070007 191.029999 193.240005]
2014-08-15,0.01634987218296602,1.0,2014-08-08,[193.240005 193.800003 193.529999 194.839996 195.759995 195.720001]
2014-08-22,0.0053215421926648965,1.0,2014-08-15,[195.720001 197.360001 198.389999 198.919998 199.5      199.190002]
2014-09-08,-0.008026322509124495,-1.0,2014-09-02,[200.610001 200.5      200.210007 201.110001 200.589996]
2014-09-15,0.0008543471877444642,1.0,2014-09-08,[200.589996 199.320007 200.070007 200.300003 199.130005 198.979996]
2014-09-22,-0.008084363788632642,-1.0,2014-09-15,[198.979996 200.479996 200.75     201.820007 200.699997 199.149994]
2014-09-29,-0.006327832561986546,-1.0,2014-09-22,[199.149994 198.009995 199.559998 196.339996 197.899994 197.539993]
2014-10-06,-0.045239132491079026,-1.0,2014-09-29,[197.539993 197.020004 194.350006 194.380005 196.520004 196.289993]
2014-10-13,0.015420729621242524,-1.0,2014-10-06,[196.289993 193.259995 196.639999 192.740005 190.539993 187.410004]
