[Return: -470.6402650000018, Pct return: -0.04777792398699068, Length: 1
, Return: 581.4006840000002, Pct return: 0.058412623365382735, Length: 5
, Return: -233.75, Pct return: -0.02348844895005583, Length: 4
, Return: -47.25000000000091, Pct return: -0.010583491873855029, Length: 2
, Return: -459.19983200000024, Pct return: -0.04640894734949404, Length: 2
, Return: -177.59053099999983, Pct return: -0.01786461458055032, Length: 5
, Return: -185.85053100000005, Pct return: -0.01868000300421038, Length: 3
, Return: -136.75002500000028, Pct return: -0.03199766654573265, Length: 1
, Return: -183.0001800000009, Pct return: -0.018604385523918708, Length: 2
, Return: -629.9201859999994, Pct return: -0.06314875419944524, Length: 2
, Return: -563.639604, Pct return: -0.05665756137882474, Length: 7
, Return: -943.739748, Pct return: -0.09531078571369582, Length: 5
, Return: 447.560469, Pct return: 0.045056031466883494, Length: 8
, Return: 400.62046200000077, Pct return: 0.04026538640132673, Length: 8
, Return: 77.59995000000004, Pct return: 0.051733300000000024, Length: 8
, Return: 531.089559, Pct return: 0.05375585144566405, Length: 7
, Return: 169.12011200000006, Pct return: 0.06833467467250276, Length: 1
, Return: 546.8404410000003, Pct return: 0.05502033009065441, Length: 4
, Return: 266.9998199999991, Pct return: 0.026736343105787732, Length: 8
, Return: -26.099825999999666, Pct return: -0.002627719708029175, Length: 8
, Return: 120.64011600000049, Pct return: 0.012171584131146303, Length: 7
, Return: 118.32046400000036, Pct return: 0.011934757406794021, Length: 3
, Return: 42.02006599999959, Pct return: 0.01116569053157588, Length: 1
]
