[Return: -470.6402650000018, Pct return: -0.04777792398699068, Length: 1
, Return: -132.16005600000062, Pct return: -0.013334846046668524, Length: 3
, Return: 501.7005220000028, Pct return: 0.05020610221976178, Length: 3
, Return: 360.24039900000025, Pct return: 0.0361929170826056, Length: 2
, Return: 213.40027499999997, Pct return: 0.02144359985140274, Length: 3
, Return: 187.20015000000058, Pct return: 0.034942350375827616, Length: 1
, Return: -157.3000549999997, Pct return: -0.015928715968888126, Length: 3
, Return: -459.19983200000024, Pct return: -0.04640894734949404, Length: 2
, Return: -355.1097719999998, Pct return: -0.035657028184197415, Length: 1
, Return: 35.990059000001565, Pct return: 0.003620398729289676, Length: 3
, Return: 78.299477999999, Pct return: 0.007959852312741007, Length: 3
, Return: -88.20025200000055, Pct return: -0.01868000300421038, Length: 3
, Return: -317.26005799999984, Pct return: -0.03199766654573265, Length: 1
, Return: -275.39982000000055, Pct return: -0.027737473476854634, Length: 3
, Return: -183.0001800000009, Pct return: -0.018604385523918708, Length: 2
, Return: -139.86021600000004, Pct return: -0.03119171302256894, Length: 1
, Return: -384.3003779999999, Pct return: -0.038895657222525616, Length: 1
, Return: 425.0401320000001, Pct return: 0.04272541744113091, Length: 2
, Return: 703.1197279999978, Pct return: 0.07042154777059789, Length: 1
, Return: 35.91044099999999, Pct return: 0.0036266908904586483, Length: 3
, Return: 113.28025600000001, Pct return: 0.011335280614868293, Length: 3
, Return: -979.650189, Pct return: -0.09857995757005336, Length: 2
, Return: 424.8995100000011, Pct return: 0.04268930947761018, Length: 1
, Return: 338.3502010000011, Pct return: 0.03406180473700949, Length: 3
, Return: 101.63953799999763, Pct return: 0.010215542288556902, Length: 3
, Return: -215.1498700000011, Pct return: -0.021590229229537967, Length: 3
, Return: 172.2505850000016, Pct return: 0.017401071126190416, Length: 3
, Return: 326.0401320000001, Pct return: 0.03293334666666662, Length: 2
, Return: 105.0, Pct return: 0.024498594293524793, Length: 3
, Return: -124.16019200000119, Pct return: -0.0124470870496146, Length: 3
, Return: -259.56062999999995, Pct return: -0.026272221758031216, Length: 3
, Return: 138.25975199999993, Pct return: 0.029093228393478894, Length: 3
, Return: 328.8998700000011, Pct return: 0.03313685723255127, Length: 1
, Return: 471.8703150000001, Pct return: 0.047477213725824446, Length: 3
, Return: 563.849811, Pct return: 0.05726165597066556, Length: 2
, Return: 327.67021699999987, Pct return: 0.06833467467250276, Length: 1
, Return: 464.3994599999987, Pct return: 0.04650318978006263, Length: 3
, Return: -17.97988400000031, Pct return: -0.0018102072992701157, Length: 3
, Return: -214.88937299999998, Pct return: -0.0216442137530687, Length: 3
, Return: -2.9001740000003338, Pct return: -0.0002925178390954026, Length: 3
, Return: 80.8305900000014, Pct return: 0.00808599454997326, Length: 3
, Return: -27.260057999999844, Pct return: -0.0027503130829791647, Length: 3
, Return: 118.32046400000036, Pct return: 0.011934757406794021, Length: 3
, Return: 54.52011599999969, Pct return: 0.005464174884986151, Length: 2
, Return: 70.67011099999945, Pct return: 0.01116569053157588, Length: 1
]
