[Return: -686.0799999999999, Pct return: -0.06871794871794872, Length: 1
, Return: -562.5705570000027, Pct return: -0.056298826293265304, Length: 1
, Return: 750.0, Pct return: 0.07507507507507508, Length: 1
, Return: 553.8694290000003, Pct return: 0.05546020583190403, Length: 2
, Return: -762.8099999999995, Pct return: -0.07638136925142847, Length: 2
, Return: 1142.7005860000008, Pct return: 0.11436956682519456, Length: 1
, Return: -403.380000000001, Pct return: -0.040350024307243645, Length: 3
, Return: -227.70049499999914, Pct return: -0.02278360461695858, Length: 5
, Return: -266.22000000000116, Pct return: -0.02664035520473602, Length: 3
, Return: -157.94975700000032, Pct return: -0.031893966236210367, Length: 1
, Return: -241.5699999999997, Pct return: -0.024197530864197455, Length: 2
, Return: 551.539999999999, Pct return: 0.05516194331983804, Length: 2
, Return: 517.3199999999979, Pct return: 0.05179856115107905, Length: 1
, Return: -460.35000000000036, Pct return: -0.0460852329038652, Length: 1
, Return: 571.5600000000013, Pct return: 0.057167605023819845, Length: 1
, Return: 158.73042899999928, Pct return: 0.015873059454013638, Length: 8
, Return: 564.4804409999997, Pct return: 0.056462329069254455, Length: 7
, Return: -84.39999999999964, Pct return: -0.008445945945945915, Length: 7
, Return: -360.80041000000165, Pct return: -0.03612483431343045, Length: 3
, Return: -176.65975799999978, Pct return: -0.03015278934955757, Length: 1
, Return: -409.9204269999991, Pct return: -0.04107834655206041, Length: 2
, Return: 374.6399999999994, Pct return: 0.037483266398929044, Length: 8
, Return: 1066.75, Pct return: 0.10685398041719889, Length: 5
, Return: 667.8000000000002, Pct return: 0.13935144609991235, Length: 3
, Return: -560.9207579999984, Pct return: -0.056124457484851786, Length: 3
, Return: 518.7007979999998, Pct return: 0.05187558068138786, Length: 2
, Return: 1008.1396210000003, Pct return: 0.1009104286452796, Length: 2
, Return: -612.3199999999997, Pct return: -0.06133700895933843, Length: 4
, Return: 216.52999999999884, Pct return: 0.02165932452276064, Length: 1
]
