[Return: 355.77000000000044, Pct return: 0.035581518852894414, Length: 1
, Return: -686.0799999999999, Pct return: -0.06871794871794872, Length: 1
, Return: -676.5, Pct return: -0.06773127753303967, Length: 2
, Return: -562.5705570000027, Pct return: -0.056298826293265304, Length: 1
, Return: 572.2999999999993, Pct return: 0.057294743059657344, Length: 2
, Return: 750.0, Pct return: 0.07507507507507508, Length: 1
, Return: 312.47944200000165, Pct return: 0.031284860335195605, Length: 3
, Return: 553.8694290000003, Pct return: 0.05546020583190403, Length: 2
, Return: 168.9597359999998, Pct return: 0.03591464646464644, Length: 1
, Return: -945.180531, Pct return: -0.09453005841741895, Length: 1
, Return: 1142.7005860000008, Pct return: 0.11436956682519456, Length: 1
, Return: 825.8199999999997, Pct return: 0.08263157894736843, Length: 1
, Return: -403.380000000001, Pct return: -0.040350024307243645, Length: 3
, Return: -485.8100000000013, Pct return: -0.0486746987951808, Length: 2
, Return: 13.279668000001038, Pct return: 0.001981129173792595, Length: 3
, Return: -266.22000000000116, Pct return: -0.02664035520473602, Length: 3
, Return: -318.49950999999965, Pct return: -0.031893966236210367, Length: 1
, Return: 526.239999999998, Pct return: 0.05271160669031927, Length: 2
, Return: -241.5699999999997, Pct return: -0.024197530864197455, Length: 2
, Return: -485.8099999999977, Pct return: -0.04862782859894069, Length: 1
, Return: 551.539999999999, Pct return: 0.05516194331983804, Length: 2
, Return: 517.3199999999979, Pct return: 0.05179856115107905, Length: 1
, Return: -796.25, Pct return: -0.07979936160510716, Length: 1
, Return: -460.35000000000036, Pct return: -0.0460852329038652, Length: 1
, Return: 1992.9599999999991, Pct return: 0.19948051948051948, Length: 1
, Return: 571.5600000000013, Pct return: 0.057167605023819845, Length: 1
, Return: -449.90040899999985, Pct return: -0.045063539532978245, Length: 3
, Return: -111.54000000000087, Pct return: -0.011154011632518798, Length: 3
, Return: 66.14999999999964, Pct return: 0.006616674018526624, Length: 3
, Return: 376.6800000000003, Pct return: 0.037686240140227846, Length: 3
, Return: 354.2408639999994, Pct return: 0.03545188220717168, Length: 2
, Return: 101.28000000000247, Pct return: 0.010135135135135219, Length: 3
, Return: 170.96999999999935, Pct return: 0.017118997197536658, Length: 3
, Return: -360.80041000000165, Pct return: -0.03612483431343045, Length: 3
, Return: -496.91959599999973, Pct return: -0.04977737959439008, Length: 2
, Return: -232.86968100000013, Pct return: -0.03015278934955757, Length: 1
, Return: -535.9399999999987, Pct return: -0.053631756756756736, Length: 3
, Return: -409.9204269999991, Pct return: -0.04107834655206041, Length: 2
, Return: -305.1999999999998, Pct return: -0.04638297872340425, Length: 1
, Return: 397.759548, Pct return: 0.039855027173913114, Length: 2
, Return: -60.89956499999971, Pct return: -0.006097517687174096, Length: 3
, Return: -84.99957499999982, Pct return: -0.008514218816517594, Length: 3
, Return: -31.719756000000416, Pct return: -0.00556026542173939, Length: 3
, Return: 1162.5895710000004, Pct return: 0.11635890440708868, Length: 2
, Return: -544.1592839999994, Pct return: -0.05449975096808003, Length: 1
, Return: -560.9207579999984, Pct return: -0.056124457484851786, Length: 3
, Return: -415.8000000000011, Pct return: -0.04158644750044087, Length: 2
, Return: 589.4708019999998, Pct return: 0.05905994612534942, Length: 3
, Return: 518.7007979999998, Pct return: 0.05187558068138786, Length: 2
, Return: 167.16019900000083, Pct return: 0.032915399686520415, Length: 1
, Return: 846.7099999999991, Pct return: 0.08485981308411214, Length: 1
, Return: -168.55965599999945, Pct return: -0.016884872501722985, Length: 3
, Return: -451.50035000000025, Pct return: -0.04521559603170011, Length: 1
, Return: 216.52999999999884, Pct return: 0.02165932452276064, Length: 1
]
