[Return: 375.52000000000044, Pct return: 0.037558685446009425, Length: 1
, Return: 497.6399999999994, Pct return: 0.04977375565610854, Length: 1
, Return: 344.8000000000011, Pct return: 0.03448275862068969, Length: 2
, Return: -41.659999999999854, Pct return: -0.004166666666666578, Length: 3
, Return: -169.1200000000008, Pct return: -0.01691331923890065, Length: 3
, Return: -246.04999999999927, Pct return: -0.03983228511530388, Length: 3
, Return: -559.0, Pct return: -0.055913978494623796, Length: 2
, Return: -943.7600000000002, Pct return: -0.09437751004016076, Length: 2
, Return: 357.1399999999994, Pct return: 0.035714285714285636, Length: 1
, Return: 551.5400000000009, Pct return: 0.05515587529976029, Length: 2
, Return: 246.07000000000153, Pct return: 0.024608501118568306, Length: 3
, Return: 480.4800000000014, Pct return: 0.04805491990846681, Length: 2
, Return: -1384.1100000000006, Pct return: -0.13846153846153844, Length: 1
, Return: -918.3600000000006, Pct return: -0.09183673469387751, Length: 3
, Return: -941.2800000000007, Pct return: -0.09414758269720104, Length: 1
, Return: -449.28000000000065, Pct return: -0.04494382022471914, Length: 1
, Return: -794.0699999999997, Pct return: -0.07941176470588236, Length: 1
, Return: -798.5, Pct return: -0.07987220447284345, Length: 2
, Return: -557.2600000000002, Pct return: -0.05573770491803277, Length: 1
, Return: 0.0, Pct return: 0.0, Length: 3
, Return: 704.0, Pct return: 0.0714285714285715, Length: 2
, Return: 508.34999999999854, Pct return: 0.05084745762711861, Length: 1
, Return: -441.5600000000013, Pct return: -0.04416403785488963, Length: 1
, Return: -546.8400000000001, Pct return: -0.05468750000000005, Length: 1
, Return: -785.0799999999999, Pct return: -0.07851239669421485, Length: 2
]
