[Return: -1188.8099999999995, Pct return: -0.11888111888111884, Length: 1
, Return: 1507.8399999999983, Pct return: 0.15079365079365076, Length: 2
, Return: 1328.039999999999, Pct return: 0.13281249999999994, Length: 1
, Return: 965.4400000000023, Pct return: 0.09655172413793112, Length: 1
, Return: -2264.04, Pct return: -0.2264150943396227, Length: 1
, Return: -487.8000000000011, Pct return: -0.04878048780487809, Length: 3
, Return: 512.8199999999997, Pct return: 0.05128205128205133, Length: 1
, Return: -731.7000000000007, Pct return: -0.07317073170731714, Length: 1
, Return: 1120.6000000000022, Pct return: 0.11206896551724149, Length: 1
, Return: 620.0799999999999, Pct return: 0.06201550387596905, Length: 2
, Return: 378.75, Pct return: 0.03787878787878791, Length: 1
, Return: -583.9200000000001, Pct return: -0.05839416058394165, Length: 2
, Return: -851.039999999999, Pct return: -0.08510638297872333, Length: 1
, Return: -465.0600000000013, Pct return: -0.046511627906976785, Length: 1
, Return: 406.5, Pct return: 0.040650406504065074, Length: 3
, Return: 151.96000000000004, Pct return: 0.03225806451612906, Length: 1
, Return: 480.0, Pct return: 0.04800000000000004, Length: 3
, Return: 228.9900000000016, Pct return: 0.022900763358778647, Length: 3
, Return: 1044.6800000000003, Pct return: 0.10447761194029843, Length: 3
, Return: 742.3899999999994, Pct return: 0.12977099236641215, Length: 2
, Return: -675.6000000000004, Pct return: -0.06756756756756763, Length: 1
, Return: -507.21999999999935, Pct return: -0.050724637681159306, Length: 3
, Return: -444.4200000000001, Pct return: -0.04444444444444448, Length: 3
, Return: -261.9499999999998, Pct return: -0.03731343283582093, Length: 2
, Return: -465.0600000000013, Pct return: -0.046511627906976785, Length: 1
, Return: -1707.2999999999993, Pct return: -0.17073170731707316, Length: 2
, Return: -1904.6400000000003, Pct return: -0.19047619047619047, Length: 1
, Return: -686.2099999999991, Pct return: -0.06862745098039222, Length: 1
, Return: -526.2999999999993, Pct return: -0.052631578947368356, Length: 1
, Return: -333.3299999999999, Pct return: -0.03333333333333336, Length: 1
, Return: -1953.9800000000014, Pct return: -0.19540229885057475, Length: 2
, Return: -2045.340000000001, Pct return: -0.2045454545454546, Length: 1
, Return: -845.039999999999, Pct return: -0.08450704225352106, Length: 1
, Return: 769.1999999999989, Pct return: 0.07692307692307682, Length: 1
, Return: -1142.7999999999993, Pct return: -0.11428571428571424, Length: 1
, Return: 1129.0299999999988, Pct return: 0.11290322580645154, Length: 1
, Return: 1449.2000000000007, Pct return: 0.1449275362318842, Length: 1
, Return: -759.4799999999996, Pct return: -0.07594936708860765, Length: 3
, Return: -473.65000000000055, Pct return: -0.06410256410256415, Length: 2
, Return: 248.72999999999956, Pct return: 0.04054054054054058, Length: 1
, Return: 666.6500000000015, Pct return: 0.06666666666666672, Length: 3
, Return: -750.0, Pct return: -0.07500000000000007, Length: 1
, Return: 135.13000000000102, Pct return: 0.013513513513513526, Length: 3
, Return: 501.72000000000025, Pct return: 0.08000000000000007, Length: 2
, Return: 370.34999999999854, Pct return: 0.03703703703703693, Length: 1
, Return: -1071.3599999999988, Pct return: -0.10714285714285711, Length: 1
, Return: 399.9899999999998, Pct return: 0.040000000000000036, Length: 2
, Return: 162.27999999999975, Pct return: 0.026315789473684233, Length: 1
]
