[Return: 9.090017999999986, Pct return: 0.009414634688801592, Length: 1
, Return: -26.190035999999964, Pct return: -0.02781498677647716, Length: 1
, Return: 12.600017999999977, Pct return: 0.013764644713053243, Length: 1
, Return: -7.440007999999921, Pct return: -0.0083693392268896, Length: 1
, Return: -28.559991999999966, Pct return: -0.031849398941900184, Length: 1
, Return: 9.0, Pct return: 0.00929454444816598, Length: 1
, Return: 3.329954999999927, Pct return: 0.0033919599671441425, Length: 1
, Return: -29.519991000000005, Pct return: -0.032312076991191506, Length: 1
, Return: -41.00005999999996, Pct return: -0.04173883614764822, Length: 1
, Return: 45.29998000000012, Pct return: 0.04650921875751097, Length: 1
, Return: 1.1699819999997771, Pct return: 0.001275365446875172, Length: 1
, Return: -6.029990999999995, Pct return: -0.006425616373615166, Length: 1
, Return: 3.329955000000041, Pct return: 0.003523426273242076, Length: 1
, Return: -18.26999099999989, Pct return: -0.018846894613748808, Length: 1
, Return: 9.26999099999989, Pct return: 0.00974639477668423, Length: 1
, Return: -19.259999999999877, Pct return: -0.020365435470775746, Length: 1
, Return: 30.959954999999923, Pct return: 0.03341747555046673, Length: 1
, Return: -17.54997299999991, Pct return: -0.018330485570515632, Length: 1
, Return: -14.850009000000114, Pct return: -0.015800067030546806, Length: 1
, Return: 26.63999100000001, Pct return: 0.028799367861445456, Length: 1
, Return: 13.320026999999982, Pct return: 0.013996624058948784, Length: 1
, Return: -6.840017999999986, Pct return: -0.007167801633196281, Length: 1
, Return: -0.7200090000001182, Pct return: -0.0007484423308864469, Length: 1
, Return: -0.4500269999999773, Pct return: -0.0004620495244681211, Length: 1
, Return: 14.039973000000032, Pct return: 0.014258266547545284, Length: 1
, Return: 5.579955000000041, Pct return: 0.00558705050385647, Length: 1
]
