[Return: 31.32000800000003, Pct return: 0.038571438423645354, Length: 1
, Return: 29.119996000000015, Pct return: 0.034530185129913356, Length: 1
, Return: -12.760012000000074, Pct return: -0.014625661296475894, Length: 1
, Return: -12.59997599999997, Pct return: -0.014656588634436859, Length: 1
, Return: -2.8400239999999712, Pct return: -0.0033527222297261364, Length: 1
, Return: -31.199952000000053, Pct return: -0.03648434564474687, Length: 1
, Return: -1.2800280000000157, Pct return: -0.0015535074141097473, Length: 1
, Return: 48.85002499999996, Pct return: 0.051545876125467606, Length: 1
, Return: -10.59997999999996, Pct return: -0.010636676640777522, Length: 1
, Return: 25.999984999999924, Pct return: 0.026370490122516438, Length: 1
, Return: -26.21996999999965, Pct return: -0.02931308653993686, Length: 1
, Return: 4.07995799999992, Pct return: 0.004442946662340124, Length: 1
, Return: -16.2600359999999, Pct return: -0.016930129827507242, Length: 1
, Return: 36.41995199999997, Pct return: 0.03857391942949965, Length: 1
, Return: 39.65999999999963, Pct return: 0.04044545238400614, Length: 1
, Return: -64.64995999999974, Pct return: -0.07604088762812374, Length: 1
, Return: 7.079951999999594, Pct return: 0.007510610352551278, Length: 1
, Return: -22.01999400000011, Pct return: -0.024166989173139926, Length: 1
, Return: 4.259951999999998, Pct return: 0.004791092451702644, Length: 1
, Return: -17.21996999999999, Pct return: -0.01959709838710334, Length: 1
, Return: 20.159999999999968, Pct return: 0.02340158763892471, Length: 1
, Return: -38.709993000000054, Pct return: -0.04093263326724059, Length: 1
, Return: -17.43003500000009, Pct return: -0.01921744898879268, Length: 1
, Return: 42.14002800000014, Pct return: 0.04737176507126601, Length: 1
, Return: -13.510056000000077, Pct return: -0.014500435108921144, Length: 1
, Return: 17.35997199999997, Pct return: 0.01890673201047087, Length: 1
, Return: -1.0499579999999469, Pct return: -0.0011222896126728775, Length: 1
, Return: -57.61002099999996, Pct return: -0.060416994124086056, Length: 1
, Return: 57.40002799999991, Pct return: 0.06406753752742454, Length: 1
, Return: 50.469944000000055, Pct return: 0.05294068502914039, Length: 1
, Return: 18.549957999999947, Pct return: 0.018586014608135526, Length: 1
, Return: 21.600036000000046, Pct return: 0.024788308883517476, Length: 1
, Return: 9.659999999999968, Pct return: 0.010817711337529816, Length: 1
, Return: -3.4200420000000804, Pct return: -0.003788932414398691, Length: 1
, Return: 17.280029999999897, Pct return: 0.019349671307435284, Length: 1
, Return: 31.259952000000112, Pct return: 0.03433951994239705, Length: 1
, Return: 3.1199339999996027, Pct return: 0.0034952543255961244, Length: 1
, Return: 13.85998799999993, Pct return: 0.014635061191967964, Length: 1
, Return: -132.83999399999993, Pct return: -0.1382453938774421, Length: 1
, Return: -44.86992299999997, Pct return: -0.04644583169501597, Length: 1
, Return: 40.52995099999987, Pct return: 0.04399690528889475, Length: 1
, Return: 44.52000700000008, Pct return: 0.0462915863330053, Length: 1
, Return: 5.879975999999942, Pct return: 0.006817363478260868, Length: 1
, Return: 4.620023999999944, Pct return: 0.0051615768610473135, Length: 1
, Return: -33.48001199999999, Pct return: -0.03647060130718959, Length: 1
, Return: 4.5, Pct return: 0.005087505156525643, Length: 1
, Return: 10.260042000000112, Pct return: 0.011311814663118662, Length: 1
, Return: 9.899963999999954, Pct return: 0.010792739050472901, Length: 1
, Return: 16.859981999999945, Pct return: 0.018184152062280218, Length: 1
, Return: -4.199982000000091, Pct return: -0.004448945073063461, Length: 1
, Return: -16.679993999999965, Pct return: -0.017533894338683825, Length: 1
, Return: -3.0, Pct return: -0.003140900770891378, Length: 1
]
