[Return: -895.4400000000005, Pct return: -0.08955223880597023, Length: 1
, Return: -1147.4399999999987, Pct return: -0.11475409836065566, Length: 1
, Return: -1111.0800000000017, Pct return: -0.1111111111111112, Length: 1
, Return: -312.47999999999774, Pct return: -0.031249999999999913, Length: 1
, Return: -322.5599999999995, Pct return: -0.03225806451612906, Length: 1
, Return: -333.3299999999999, Pct return: -0.03333333333333336, Length: 1
, Return: -689.6399999999994, Pct return: -0.06896551724137924, Length: 2
, Return: -581.3499999999985, Pct return: -0.05813953488372085, Length: 1
, Return: 617.25, Pct return: 0.06172839506172831, Length: 1
, Return: 2674.210000000001, Pct return: 0.26744186046511637, Length: 1
, Return: -825.6599999999999, Pct return: -0.08256880733944962, Length: 1
, Return: 1200.0000000000018, Pct return: 0.1200000000000001, Length: 1
, Return: 535.6799999999985, Pct return: 0.053571428571428416, Length: 2
, Return: 350.84000000000015, Pct return: 0.03508771929824565, Length: 1
, Return: 593.1800000000003, Pct return: 0.05932203389830514, Length: 1
, Return: -480.0, Pct return: -0.04800000000000004, Length: 1
, Return: -504.1800000000003, Pct return: -0.05042016806722694, Length: 2
, Return: -341.880000000001, Pct return: -0.03418803418803422, Length: 1
, Return: -707.9199999999983, Pct return: -0.07079646017699102, Length: 2
, Return: 761.8400000000001, Pct return: 0.07619047619047604, Length: 2
]
