[Return: 564.4799999999996, Pct return: 0.05645161290322579, Length: 2
, Return: 452.03000000000065, Pct return: 0.04521276595744691, Length: 1
, Return: 379.6499999999978, Pct return: 0.03797468354430366, Length: 1
, Return: 0.0, Pct return: 0.0, Length: 3
, Return: -97.56000000000131, Pct return: -0.009756097560975618, Length: 3
, Return: 0.0, Pct return: 0.0, Length: 3
, Return: 1525.0, Pct return: 0.15250000000000008, Length: 3
, Return: 1438.9800000000014, Pct return: 0.14392059553349876, Length: 2
, Return: 347.03999999999905, Pct return: 0.03470715835140981, Length: 1
, Return: 472.1899999999987, Pct return: 0.04722792607802865, Length: 1
, Return: 119.52000000000226, Pct return: 0.011952191235059861, Length: 3
, Return: 80.15999999999985, Pct return: 0.008016032064128263, Length: 3
, Return: -344.7600000000002, Pct return: -0.03448275862068964, Length: 3
, Return: -22.019999999998618, Pct return: -0.0022026431718061203, Length: 3
, Return: -325.9499999999989, Pct return: -0.0326086956521738, Length: 3
, Return: -308.9800000000014, Pct return: -0.03090507726269328, Length: 2
, Return: -337.0499999999993, Pct return: -0.0337078651685394, Length: 2
, Return: -341.54999999999745, Pct return: -0.03416856492027323, Length: 2
, Return: -395.25, Pct return: -0.03953488372093022, Length: 2
, Return: -424.4400000000005, Pct return: -0.04245283018867939, Length: 3
, Return: -266.3100000000013, Pct return: -0.026634382566586033, Length: 3
, Return: 373.0499999999993, Pct return: 0.03731343283582099, Length: 1
, Return: 591.1200000000008, Pct return: 0.0591133004926109, Length: 3
, Return: 311.7399999999998, Pct return: 0.031175059952038345, Length: 1
, Return: -348.75, Pct return: -0.03488372093023243, Length: 1
, Return: 505.89000000000124, Pct return: 0.050602409638554204, Length: 1
, Return: -304.3299999999999, Pct return: -0.030444964871194358, Length: 3
, Return: -285.60000000000036, Pct return: -0.028571428571428595, Length: 3
, Return: 96.60000000000036, Pct return: 0.00966183574879228, Length: 3
, Return: 514.5, Pct return: 0.05147058823529411, Length: 3
, Return: 353.5199999999986, Pct return: 0.04379562043795613, Length: 2
, Return: 116.54999999999927, Pct return: 0.011655011655011614, Length: 3
, Return: 212.76000000000022, Pct return: 0.021276595744680816, Length: 3
, Return: 42.159999999999854, Pct return: 0.004683840749414628, Length: 3
, Return: 46.279999999998836, Pct return: 0.0046296296296295305, Length: 2
, Return: 116.54999999999927, Pct return: 0.011655011655011614, Length: 1
]
